Wine Type,Category,Table1.id,Table1.name,Table1.volume,Table1.ABV,Table1.location,Table1.country,Table1.producer,Table1.style,Table1.price,Table1.sugar,Table1.sweetness,Table1.total_alcohol_ml,Table1.value,Table1.type,Table1.class,Table1.rating,Table1.rating_norm,Table1.value_norm,Table1.score_norm,Table1.score
Fortified Wine,Dessert/Fortified Wine,4612,Andrs Fine Old Apera,750,20,Canada,Canada,Andrew Peller Limited,Sweet,9.55,94,S - Sweet,150,15.70680628,Fortified Wine,wine,5,0.734543234,3.747245616,2.752513915,78.5340314
Fortified Wine,Dessert/Fortified Wine,4748,Kittling Ridge Kingsgate Reserve Apera (PET),750,20,Canada,Canada,Magnotta Winery,,9.55,41,MS - Medium Sweet,150,15.70680628,Fortified Wine,wine,4,-0.553844918,3.747245616,-2.075392941,62.82722512
Fortified Wine,Dessert/Fortified Wine,4613,Brights Classic Cream,750,20,Canada,Canada,"Arterra Wines Canada, Inc.",,9.95,114,S - Sweet,150,15.07537688,Fortified Wine,wine,,,3.5322889,,
Fortified Wine,Dessert/Fortified Wine,4713,Imperial Fortified Wine,750,20,Canada,Canada,"Arterra Wines Canada, Inc.",,9.95,77,S - Sweet,150,15.07537688,Fortified Wine,wine,,,3.5322889,,
Fortified Wine,Dessert/Fortified Wine,4775,Brights Pale Dry Select,750,20,Canada,Canada,"Arterra Wines Canada, Inc.",Dry,9.95,22,M - Medium,150,15.07537688,Fortified Wine,wine,5,0.734543234,3.5322889,2.594618913,75.3768844
Fortified Wine,Dessert/Fortified Wine,4582,Brights 74 Tawny,750,18,Canada,Canada,"Arterra Wines Canada, Inc.",Sweet,9.55,119,S - Sweet,135,14.13612565,Fortified Wine,wine,5,0.734543234,3.212540785,2.359750099,70.68062825
Fortified Wine,Dessert/Fortified Wine,9966,Andrs Golden Cream Apera,750,18,Canada,Canada,Andrew Peller Limited,,9.55,138,S - Sweet,135,14.13612565,Fortified Wine,wine,5,0.734543234,3.212540785,2.359750099,70.68062825
Fortified Wine,Dessert/Fortified Wine,9364,Lima & Quental Vinho Abafado,1000,18,Portugal,Portugal,Lima E Quental Lda,,13.05,,,180,13.79310345,Fortified Wine,wine,,,3.09576617,,
Fortified Wine,Dessert/Fortified Wine,5044,Emu Amontillado Medium Dry,750,17.5,Australia,Australia,Constellation Wines Australia,Medium,9.55,80,S - Sweet,131.25,13.7434555,Fortified Wine,wine,5,0.734543234,3.07886458,2.261559147,68.7172775
Fortified Wine,Dessert/Fortified Wine,4604,Brights 74 Tawny,1000,18,Canada,Canada,"Arterra Wines Canada, Inc.",Sweet,13.25,119,S - Sweet,180,13.58490566,Fortified Wine,wine,5,0.734543234,3.024889658,2.221912233,67.9245283
